"","TripID","EID","PIT","DateTime","Location","Reach","DecimalZone","PITIndex","ReleaseDate","ReleaseLocation","ReleaseReach","ReleaseZone"
"1",1628,19940,"003D772EB1",2024-03-13 22:01:00,"Laughlin Lagoon (outlet)",3,"3.1","003D772EB1",2021-11-17,"Palo Verde Outfall at Walters Camp",4,"4.4"
"2",1628,19940,"003D76FD69",2024-03-13 22:01:00,"Laughlin Lagoon (outlet)",3,"3.1","003D76FD69",2020-12-09,"Ehler's (C10)",4,"4.3"
"3",1628,19940,"003D772EB1",2024-03-13 22:54:00,"Laughlin Lagoon (outlet)",3,"3.1","003D772EB1",2021-11-17,"Palo Verde Outfall at Walters Camp",4,"4.4"
"4",1628,19940,"003D8B4627",2024-03-13 23:03:00,"Laughlin Lagoon (outlet)",3,"3.1","003D8B4627",2022-11-16,"A10 Upper",4,"4.3"
"5",1628,19940,"003D772F5F",2024-03-13 23:20:00,"Laughlin Lagoon (outlet)",3,"3.1","003D772F5F",2021-01-28,"A7 Upper",4,"4.3"
"6",1628,19940,"003D772EB1",2024-03-13 23:20:00,"Laughlin Lagoon (outlet)",3,"3.1","003D772EB1",2021-11-17,"Palo Verde Outfall at Walters Camp",4,"4.4"
"7",1628,19940,"003D8B3C96",2024-03-13 23:20:00,"Laughlin Lagoon (outlet)",3,"3.1","003D8B3C96",2022-11-16,"A10 Upper",4,"4.3"
"8",1628,19940,"003D8B4627",2024-03-13 23:22:00,"Laughlin Lagoon (outlet)",3,"3.1","003D8B4627",2022-11-16,"A10 Upper",4,"4.3"
"9",1628,19940,"003D76FD69",2024-03-13 23:22:00,"Laughlin Lagoon (outlet)",3,"3.1","003D76FD69",2020-12-09,"Ehler's (C10)",4,"4.3"
"10",1628,19940,"003D76FD69",2024-03-13 23:40:00,"Laughlin Lagoon (outlet)",3,"3.1","003D76FD69",2020-12-09,"Ehler's (C10)",4,"4.3"
"11",1628,19940,"003E219B80",2024-03-13 23:47:00,"Laughlin Lagoon (outlet)",3,"3.1","003E219B80",2022-11-22,"Palo Verde Oxbow (lagoon)",4,"4.4"
"12",1628,19940,"003D4B95C5",2024-03-13 23:47:00,"Laughlin Lagoon (outlet)",3,"3.1","003D4B95C5",2020-11-20,"A7 Upper",4,"4.3"
"13",1628,19940,"003D8B3C96",2024-03-14 00:37:00,"Laughlin Lagoon (outlet)",3,"3.1","003D8B3C96",2022-11-16,"A10 Upper",4,"4.3"
"14",1628,19940,"003D8B4627",2024-03-14 01:45:00,"Laughlin Lagoon (outlet)",3,"3.1","003D8B4627",2022-11-16,"A10 Upper",4,"4.3"
"15",1628,19940,"003D772F5F",2024-03-14 01:45:00,"Laughlin Lagoon (outlet)",3,"3.1","003D772F5F",2021-01-28,"A7 Upper",4,"4.3"
"16",1628,19940,"003D8B4627",2024-03-14 01:46:00,"Laughlin Lagoon (outlet)",3,"3.1","003D8B4627",2022-11-16,"A10 Upper",4,"4.3"
